id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,70,56,0,2.0000005,M.USER.APP.0,1,1,0
2,LINK,78,7,0,1.0000005,M.USER.APP.0,1,1,1
3,LINK,74,18,0,2.0000005,M.USER.APP.0,1,1,2
4,LINK,44,11,0,1.000001,M.USER.APP.0,1,1,3
5,LINK,42,24,0,2.000001,M.USER.APP.0,1,1,4
6,LINK,62,29,0,2.0000005,M.USER.APP.0,1,1,5
7,LINK,64,24,0,2.0000005,M.USER.APP.0,1,1,6
8,LINK,2,17,0,2.0000005,M.USER.APP.0,1,1,7
9,LINK,70,56,0,2.0000005,M.USER.APP.0,1,1,8
10,LINK,78,7,0,1.0000005,M.USER.APP.0,1,1,9
11,LINK,63,24,0,1.000001,M.USER.APP.0,1,1,10
12,LINK,70,56,0,2.0000005,M.USER.APP.0,1,1,11
13,LINK,95,7,0,2.0000005,M.USER.APP.0,1,1,12
14,LINK,45,43,0,2.0000005,M.USER.APP.0,1,1,13
15,LINK,42,24,0,2.000001,M.USER.APP.0,1,1,14
16,LINK,95,7,0,2.0000005,M.USER.APP.0,1,1,15
17,LINK,68,24,0,1.000001,M.USER.APP.0,1,1,16
18,LINK,66,20,0,1.0000005,M.USER.APP.0,1,1,17
19,LINK,44,11,0,1.000001,M.USER.APP.0,1,1,18
20,LINK,68,24,0,1.000001,M.USER.APP.0,1,1,19
21,LINK,45,43,0,2.0000005,M.USER.APP.0,1,1,20
22,LINK,70,56,0,2.0000005,M.USER.APP.0,1,1,21
23,LINK,97,93,0,1.0000005,M.USER.APP.0,1,1,22
24,LINK,82,5,0,2.000001,M.USER.APP.0,1,1,23
25,LINK,2,17,0,2.0000005,M.USER.APP.0,1,1,24
26,LINK,33,27,0,2.000001,M.USER.APP.0,1,1,25
27,LINK,63,24,0,1.000001,M.USER.APP.0,1,1,26
28,LINK,78,7,0,1.0000005,M.USER.APP.0,1,1,27
29,LINK,70,56,0,2.0000005,M.USER.APP.0,1,1,28
30,LINK,63,24,0,1.000001,M.USER.APP.0,1,1,29
31,LINK,52,24,0,2.000001,M.USER.APP.0,1,1,30
32,LINK,2,17,0,2.0000005,M.USER.APP.0,1,1,31
33,LINK,64,24,0,2.0000005,M.USER.APP.0,1,1,32
34,LINK,42,24,0,2.000001,M.USER.APP.0,1,1,33
35,LINK,95,7,0,2.0000005,M.USER.APP.0,1,1,34
36,LINK,74,18,0,2.0000005,M.USER.APP.0,1,1,35
37,LINK,66,20,0,1.0000005,M.USER.APP.0,1,1,36
38,LINK,44,11,0,1.000001,M.USER.APP.0,1,1,37
39,LINK,59,18,0,2.0000005,M.USER.APP.0,1,1,38
40,LINK,68,24,0,1.000001,M.USER.APP.0,1,1,39
41,LINK,45,43,0,2.0000005,M.USER.APP.0,1,1,40
42,LINK,62,29,0,2.0000005,M.USER.APP.0,1,1,41
43,LINK,62,29,0,2.0000005,M.USER.APP.0,1,1,42
44,LINK,97,93,0,1.0000005,M.USER.APP.0,1,1,43
45,LINK,59,18,0,2.0000005,M.USER.APP.0,1,1,44
46,LINK,74,18,0,2.0000005,M.USER.APP.0,1,1,45
47,LINK,74,18,0,2.0000005,M.USER.APP.0,1,1,46
48,LINK,99,25,0,2.0000005,M.USER.APP.0,1,1,47
49,LINK,52,24,0,2.000001,M.USER.APP.0,1,1,48
50,LINK,42,24,0,2.000001,M.USER.APP.0,1,1,49
51,LINK,70,56,0,2.0000005,M.USER.APP.0,2,1,50
52,LINK,78,7,0,1.0000005,M.USER.APP.0,2,1,51
53,LINK,74,18,0,2.0000005,M.USER.APP.0,2,1,52
54,LINK,44,11,0,1.000001,M.USER.APP.0,2,1,53
55,LINK,42,24,0,2.000001,M.USER.APP.0,2,1,54
56,LINK,62,29,0,2.0000005,M.USER.APP.0,2,1,55
57,LINK,64,24,0,2.0000005,M.USER.APP.0,2,1,56
58,LINK,2,17,0,2.0000005,M.USER.APP.0,2,1,57
59,LINK,70,56,0,2.0000005,M.USER.APP.0,2,1,58
60,LINK,78,7,0,1.0000005,M.USER.APP.0,2,1,59
61,LINK,63,24,0,1.000001,M.USER.APP.0,2,1,60
62,LINK,70,56,0,2.0000005,M.USER.APP.0,2,1,61
63,LINK,95,7,0,2.0000005,M.USER.APP.0,2,1,62
64,LINK,45,43,0,2.0000005,M.USER.APP.0,2,1,63
65,LINK,42,24,0,2.000001,M.USER.APP.0,2,1,64
66,LINK,95,7,0,2.0000005,M.USER.APP.0,2,1,65
67,LINK,68,24,0,1.000001,M.USER.APP.0,2,1,66
68,LINK,66,20,0,1.0000005,M.USER.APP.0,2,1,67
69,LINK,44,11,0,1.000001,M.USER.APP.0,2,1,68
70,LINK,68,24,0,1.000001,M.USER.APP.0,2,1,69
71,LINK,45,43,0,2.0000005,M.USER.APP.0,2,1,70
72,LINK,70,56,0,2.0000005,M.USER.APP.0,2,1,71
73,LINK,97,93,0,1.0000005,M.USER.APP.0,2,1,72
74,LINK,82,5,0,2.000001,M.USER.APP.0,2,1,73
75,LINK,2,17,0,2.0000005,M.USER.APP.0,2,1,74
76,LINK,33,27,0,2.000001,M.USER.APP.0,2,1,75
77,LINK,63,24,0,1.000001,M.USER.APP.0,2,1,76
78,LINK,78,7,0,1.0000005,M.USER.APP.0,2,1,77
