node,centrality
5,0.22222222222222224
2,0.21212121212121213
8,0.21212121212121213
3,0.20202020202020204
6,0.20202020202020204
4,0.18181818181818182
13,0.17171717171717174
14,0.16161616161616163
21,0.13131313131313133
12,0.12121212121212122
9,0.11111111111111112
17,0.10101010101010102
25,0.09090909090909091
16,0.09090909090909091
45,0.09090909090909091
22,0.09090909090909091
10,0.08080808080808081
15,0.08080808080808081
27,0.08080808080808081
30,0.07070707070707072
42,0.06060606060606061
31,0.06060606060606061
29,0.06060606060606061
33,0.06060606060606061
55,0.06060606060606061
34,0.06060606060606061
60,0.06060606060606061
23,0.06060606060606061
1,0.06060606060606061
7,0.06060606060606061
62,0.05050505050505051
58,0.05050505050505051
47,0.05050505050505051
79,0.05050505050505051
26,0.05050505050505051
51,0.05050505050505051
35,0.05050505050505051
32,0.05050505050505051
18,0.05050505050505051
83,0.04040404040404041
70,0.04040404040404041
67,0.04040404040404041
87,0.04040404040404041
63,0.04040404040404041
72,0.04040404040404041
74,0.04040404040404041
81,0.04040404040404041
76,0.04040404040404041
57,0.04040404040404041
56,0.04040404040404041
80,0.04040404040404041
50,0.04040404040404041
78,0.04040404040404041
37,0.04040404040404041
52,0.04040404040404041
48,0.04040404040404041
94,0.04040404040404041
19,0.04040404040404041
44,0.04040404040404041
20,0.04040404040404041
43,0.04040404040404041
41,0.04040404040404041
24,0.04040404040404041
40,0.04040404040404041
36,0.04040404040404041
92,0.030303030303030304
98,0.030303030303030304
82,0.030303030303030304
97,0.030303030303030304
86,0.030303030303030304
84,0.030303030303030304
85,0.030303030303030304
96,0.030303030303030304
91,0.030303030303030304
88,0.030303030303030304
89,0.030303030303030304
90,0.030303030303030304
93,0.030303030303030304
95,0.030303030303030304
0,0.030303030303030304
77,0.030303030303030304
75,0.030303030303030304
11,0.030303030303030304
28,0.030303030303030304
38,0.030303030303030304
39,0.030303030303030304
46,0.030303030303030304
49,0.030303030303030304
53,0.030303030303030304
54,0.030303030303030304
59,0.030303030303030304
61,0.030303030303030304
64,0.030303030303030304
65,0.030303030303030304
66,0.030303030303030304
68,0.030303030303030304
69,0.030303030303030304
71,0.030303030303030304
73,0.030303030303030304
99,0.030303030303030304
