id,type,src,dst,app,latency,message,ctime,size,buffer
61,LINK,12,2,Aplikasi B,1.000005,M.Action,310,10,0
62,LINK,2,5,Aplikasi B,2.00001,M.Action,310,10,1
61,LINK,2,5,Aplikasi B,2.00001,M.Action,311.000005,10,1
63,LINK,12,2,Aplikasi B,1.000005,M.Action,320,10,0
64,LINK,2,5,Aplikasi B,2.00001,M.Action,320,10,1
63,LINK,2,5,Aplikasi B,2.00001,M.Action,321.000005,10,1
65,LINK,12,2,Aplikasi B,1.000005,M.Action,330,10,0
66,LINK,2,5,Aplikasi B,2.00001,M.Action,330,10,1
65,LINK,2,5,Aplikasi B,2.00001,M.Action,331.000005,10,1
67,LINK,12,2,Aplikasi B,1.000005,M.Action,340,10,0
68,LINK,2,5,Aplikasi B,2.00001,M.Action,340,10,1
67,LINK,2,5,Aplikasi B,2.00001,M.Action,341.000005,10,1
69,LINK,12,2,Aplikasi B,1.000005,M.Action,350,10,0
70,LINK,2,5,Aplikasi B,2.00001,M.Action,350,10,1
69,LINK,2,5,Aplikasi B,2.00001,M.Action,351.000005,10,1
71,LINK,12,2,Aplikasi B,1.000005,M.Action,360,10,0
72,LINK,2,5,Aplikasi B,2.00001,M.Action,360,10,1
71,LINK,2,5,Aplikasi B,2.00001,M.Action,361.000005,10,1
73,LINK,12,2,Aplikasi B,1.000005,M.Action,370,10,0
74,LINK,2,5,Aplikasi B,2.00001,M.Action,370,10,1
73,LINK,2,5,Aplikasi B,2.00001,M.Action,371.000005,10,1
75,LINK,12,2,Aplikasi B,1.000005,M.Action,380,10,0
76,LINK,2,5,Aplikasi B,2.00001,M.Action,380,10,1
75,LINK,2,5,Aplikasi B,2.00001,M.Action,381.000005,10,1
77,LINK,12,2,Aplikasi B,1.000005,M.Action,390,10,0
78,LINK,2,5,Aplikasi B,2.00001,M.Action,390,10,1
77,LINK,2,5,Aplikasi B,2.00001,M.Action,391.000005,10,1
79,LINK,12,2,Aplikasi B,1.000005,M.Action,400,10,0
80,LINK,2,5,Aplikasi B,2.00001,M.Action,400,10,1
79,LINK,2,5,Aplikasi B,2.00001,M.Action,401.000005,10,1
81,LINK,12,2,Aplikasi B,1.000005,M.Action,410,10,0
82,LINK,2,5,Aplikasi B,2.00001,M.Action,410,10,1
81,LINK,2,5,Aplikasi B,2.00001,M.Action,411.000005,10,1
83,LINK,12,2,Aplikasi B,1.000005,M.Action,420,10,0
84,LINK,2,5,Aplikasi B,2.00001,M.Action,420,10,1
